tick,liquidityGross,liquidityNet,feeGrowthOut0,feeGrowthOut1,tickCumulativeOut,secsPerLiquidity,secsOut,initialized
890820,0,0,0,0,0,0,0,0
906180,0,0,0,0,0,0,0,0
921540,0,0,0,0,0,0,0,0
936900,0,0,0,0,0,0,0,0
952260,0,0,0,0,0,0,0,0
967620,0,0,0,0,0,0,0,0
982980,0,0,0,0,0,0,0,0
998340,0,0,0,0,0,0,0,0
1013700,0,0,0,0,0,0,0,0
