pool_id,poolSym,liquidity
0x000024feb293b6c6c3a80a95f1f830a8746400b9,TRUMP_WETH,0
0x0000d36ab86d213c14d93cd5ae78615a20596505,RALPH_WETH,0
0x0001fcbba8eb491c3ccfeddc5a5caba1a98c4c28,BCZ_WETH,303015134493562686441
0x0002e63328169d7feea121f1e32e4f620abf0352,wNXM_ICHI,15770036641733558
0x0003c9d75e102b8a9fe77280ca410e9135beb150,TRANCHE-bWBTC-A_USDT,0
0x0004cd8474e882278e32e584699090be496f410e,ZERO_USDC,188566476438429518
0x0005079292756443f2e711570f8ab4e1951d4f97,EDG_WETH,17025917918309
0x0005647722f0f8233d64063dcae20ebdb99fdc02,ELONvZUCK_WETH,0
0x000ba527862e5b82cff0f7c66b646af023274aa1,SAFE_WETH,25534678320845836314488
0x000c0d31f6b7cecde4645eef0c4ec6a492659d62,WETH_DZOO,0
0x000e0bbcfdba9490ee20b0a7900a4dff46317998,FORTH_WAMPL,0
0x000ea4a83acefdd62b1b43e9ccc281f442651520,BUSD_WETH,148443933127936569
0x000f0c0b0b791e855dcc5ad6501c7529dea882e0,WETH_DOGGE,0
0x000fedac8a4c7f2c291c5bca0fd244e17e27c763,WETH_DEGEN,0
0x001202b13fab0dcbdaa605a48a73df38cd70d14c,Odin_WETH,0
0x0012c1c4da19861a5f299b9dcc1dcb5cfa4770aa,CO2B_WETH,102630312763787238
0x001d6b301b939dc0dd2b982378d30b049d1d7e91,COIN_WETH,1224738156519443122
0x00254e7612301f5f952e262dac3d8ca5f422b3bf,FANTA_WETH,0
0x0025ade782cc2b2415d1e841a8d52ff5dce33dfe,WETH_SIM,292918389273214376584
0x0026040bcab8c8e352e2ec3f66e4c4b8ca4658b2,ESS_WETH,433815326510610256913
0x00299231273752123aed17229810c0e9a7681ce6,$BURNA_WETH,642837934014532853
0x002c0b78c8057636918b963cd26c07b7f2892bd8,WETH_CP,0
0x00323a300261042dd5d697e3f92a06279cc7d15b,LTY_DOGY,0
0x0033ca9e1093852aa4c1e98692ff6ba7eb913514,DOGE_WETH,0
0x0033e006041435952ee4a1fc37feadc19a562cff,USDC_tBONE,0
0x0038955d12bf880849c7a984e9bdf3ff02035d8b,WEED_WETH,208214116667372005
0x003f74396718dae1700dad33e05cdfdfe8d46af1,oAkita_WETH,0
0x0041426a64a85ef884387dc3a69f9df1fbb7f9d1,WIVA_USDC,0
0x0046f6bf89e812f053941731af74decdfc93093f,ZRC_USDT,0
0x005489c69e5800d38bf8d7d616f4cb676185dfd6,palmer_WETH,0
0x005843e075e77ba46a26d24914db10a4d9ca0122,WETH_FREEBRIT,0
0x0059b4c53c85bb8159014bfd20700c14b29c4483,BCVT_USDT,0
0x005b584315d7c47bb5fca504ac0d8df56aea40f9,USDT_STC,0
0x005cd18887579ed785fb3e5e2c9356c31b78f89e,wMEMO_MIM,0
0x005d641f9f14b2222f7d84de20ccda0fbfe9f1c7,gnihton_WETH,0
0x005e3dc62b7a269bef2a7d06e06cc0c991375c6f,MODE_WETH,0
0x00631e7e8be695f1d52536bafe937e5a7709c469,ねいろ_WETH,10009013323591326699997
0x0068bb604413dfee5c453907bb150d0312a0f257,SXHC_WETH,0
0x006909ef5027363d7fbbd8e81186d23aa7db9f39,LOODZ_WETH,0
0x006a004447380d08f8a0662c545e425004cf8d0b,WETH_DFB,0
0x006ac24a1f49e472673c82327bdf177a5c11491b,WETH_FUDX,0
0x006b974ca08532d95015cd3e17ac65fac1f570a1,APED_WETH,0
0x006bf6c02578ad587eb5e1fbdfbd57a58edd3e3e,JOW_POL,0
0x006cf8fe7f17c010bbf61456ababf14088186ec6,LLT_WETH,0
0x006f6b5033dba7c532aba820a9412b889650a1fa,$W_WETH,0
0x0072adf9e6c1840804e56be890d78788600834b6,CGD_WETH,42647917869911255144
0x0073ce82d9a8ffa9b695cca63cd3993c3eaef4dc,PPUSD_WETH,0
0x00776e638fcb9c03c45054a4b397af0f0a6a00c2,PLD_USDC,0
0x007a3f1527991382a238bcd352bffbf51c8161cf,BB_WETH,912735398453049046109935
0x008368f0a747a36e07dcd5ea4e11f9f44aa0410c,MMX_USDC,0
0x008432bdcc8b9569450f0134a8174c71ddc2b047,LIAN_USDT,23124354317497
0x008620aa1ef483c71b6047dc31d592fabd54bfcb,WETH_dogewifhat,0
0x00916eb312b2982eb86a7714be64546baebc1a5c,BOBA_WETH,0
0x00953df8289165834539f5fdbc2bf40fa1538840,WETH_MON,0
0x0097093ca2709413528229d01a48de16a765558b,PEACE_WETH,3162433331493778556
0x009b5d59ff6d7b5140b76fd0d25396f8014d5bd0,DAI_VSDC,0
0x00a151b39b43f6a79366f9129222b9370e30a702,BURNLY_WETH,8998077112326985950396256
0x00a7af7f910f98d7e03ce41d7a73c759d51dc36e,n_GROKS,2723249136020312494353112
0x00a9205611cc32ec9c0d16fc58f31b9355ec7ade,EGG_USDT,0
0x00a96cd5489824a9aeecba7ddb4dd0e7168b0117,CATGPT_WETH,0
0x00a9897a285247d285adbe77d5584612f04735be,KNX_USDC,0
0x00ae909d0405a4ae2b190af7c731711d0fc56bb7,USDC_wBOND,0
0x00b531695a43b0f68d69ba52a52bc5578374ebd7,BOOTY_WETH,0
0x00b6cfd82bc81857e90db08ced5d8c711eb509ca,HAHA_WETH,0
